Tool,Rounds,Average memory (MB),Max memory (MB),File orig size (KB),File modified size (KB),File delta size (KB),Time (sec),File orig,File modified,File delta
xydiff,1,2.2,4.4,2.63,2.62,0.6,0.1,article_min.xml,article_min_text_edit_update.xml,xydiff_article_min.xml_article_min_text_edit_update.xml_delta.xml
jndiff,1,31.8,54.0,2.63,2.62,0.2,0.5,article_min.xml,article_min_text_edit_update.xml,jndiff_article_min.xml_article_min_text_edit_update.xml_delta.xml
jxydiff,1,26.8,47.8,2.63,2.62,0.3,0.3,article_min.xml,article_min_text_edit_update.xml,jxydiff_article_min.xml_article_min_text_edit_update.xml_delta.xml
fc-xmldiff,1,62.3,127.3,2.63,2.62,0.6,1.3,article_min.xml,article_min_text_edit_update.xml,fc-xmldiff_article_min.xml_article_min_text_edit_update.xml_delta.xml
xcc,1,27.6,45.4,2.63,2.62,0.4,0.4,article_min.xml,article_min_text_edit_update.xml,xcc_article_min.xml_article_min_text_edit_update.xml_delta.xml
node-delta,1,38.2,60.5,2.63,2.62,0.3,0.7,article_min.xml,article_min_text_edit_update.xml,node-delta_article_min.xml_article_min_text_edit_update.xml_delta.xml
deltaXML,1,77.8,115.5,2.63,2.62,0.0,2.0,article_min.xml,article_min_text_edit_update.xml,deltaXML_article_min.xml_article_min_text_edit_update.xml_delta.xml
xmldiff,1,12.6,21.6,2.63,2.62,2.3,0.4,article_min.xml,article_min_text_edit_update.xml,xmldiff_article_min.xml_article_min_text_edit_update.xml_delta.xml
xop,1,32.6,52.3,2.63,2.62,0.9,0.4,article_min.xml,article_min_text_edit_update.xml,xop_article_min.xml_article_min_text_edit_update.xml_delta.xml
diffmk,1,23.2,42.9,2.63,2.62,2.7,0.2,article_min.xml,article_min_text_edit_update.xml,diffmk_article_min.xml_article_min_text_edit_update.xml_delta.xml
xdiff,1,1.4,3.1,2.63,2.62,0,0.0,article_min.xml,article_min_text_edit_update.xml,xdiff_article_min.xml_article_min_text_edit_update.xml_delta.xml
diffxml,1,27.4,45.8,2.63,2.62,0.4,0.3,article_min.xml,article_min_text_edit_update.xml,diffxml_article_min.xml_article_min_text_edit_update.xml_delta.xml
